16:47:42.106 [main] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,140] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@2ad80cf6[Running, pool size = 3, active threads = 0, queued tasks = 0, completed tasks = 3]
16:47:42.107 [main] INFO  c.a.n.client.naming - [shutdown,292] - Shutdown grpc redo service executor java.util.concurrent.ScheduledThreadPoolExecutor@4e212f46[Running, pool size = 1, active threads = 0, queued tasks = 1, completed tasks = 3]
16:47:42.107 [main] INFO  c.a.n.c.a.r.i.CredentialWatcher - [stop,106] - [null] CredentialWatcher is stopped
16:47:42.107 [main] INFO  c.a.n.c.a.r.i.CredentialService - [free,100] - [null] CredentialService is freed
16:47:42.107 [main] INFO  c.a.n.client.naming - [shutdown,211] - com.alibaba.nacos.client.naming.remote.NamingClientProxyDelegate do shutdown stop
16:47:42.135 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
16:47:42.139 [main] INFO  c.a.d.p.DruidDataSource - [close,2105] - {dataSource-1} closing ...
16:47:42.145 [main] INFO  c.a.d.p.DruidDataSource - [close,2178] - {dataSource-1} closed
16:47:42.145 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
16:47:42.213 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c026ed57-eeb5-46ec-b57e-1019762af64f] Client is shutdown, stop reconnect to server
16:47:42.472 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Pausing ProtocolHandler ["http-nio-0.0.0.0-9221"]
16:47:42.473 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
16:47:42.477 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Stopping ProtocolHandler ["http-nio-0.0.0.0-9221"]
16:47:42.482 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Destroying ProtocolHandler ["http-nio-0.0.0.0-9221"]
16:48:33.870 [main] INFO  c.a.s.s.MfSysApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
16:48:37.090 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
